City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
128,Flinders,AU,2021-11-28 01:10:40,-34.5833,150.8552,61.3,79,96,11.81,overcast clouds
129,Leningradskiy,RU,2021-11-28 01:05:57,69.3833,178.4167,-19.93,90,8,9.51,clear sky
130,Kaura Namoda,NG,2021-11-28 01:10:41,12.5898,6.5779,75.25,16,100,8.52,overcast clouds
131,Bethel,US,2021-11-28 01:10:41,41.3712,-73.414,34.16,47,1,5.75,clear sky
132,Vardo,NO,2021-11-28 01:10:42,70.3705,31.1107,24.62,77,43,13.49,scattered clouds
133,Carutapera,BR,2021-11-28 01:09:12,-1.195,-46.02,78.84,82,6,6.06,clear sky
134,Port Hedland,AU,2021-11-28 01:10:42,-20.3167,118.5667,100.45,11,7,28.77,clear sky
135,Kirkwood,US,2021-11-28 01:10:43,38.5834,-90.4068,45.99,57,1,5.75,clear sky
136,Vaini,TO,2021-11-28 01:10:43,-21.2,-175.2,84.36,84,75,14.97,light rain
137,Kalmunai,LK,2021-11-28 01:11:44,7.4167,81.8167,78.75,85,29,3.36,moderate rain
138,Januaria,BR,2021-11-28 01:11:44,-15.4833,-44.3667,68.52,97,100,3.49,light rain
139,Kaitangata,NZ,2021-11-28 01:11:44,-46.2817,169.8464,61.39,54,0,7.4,clear sky
140,Mount Gambier,AU,2021-11-28 01:11:45,-37.8333,140.7667,67.51,40,9,7.78,clear sky
141,Finschhafen,PG,2021-11-28 01:11:45,-6.6024,147.8681,85.84,68,62,8.05,broken clouds
142,Kijang,KR,2021-11-28 01:11:45,35.2442,129.2139,50.09,52,0,3.11,clear sky
143,Namatanai,PG,2021-11-28 01:10:54,-3.6667,152.4333,84.56,68,95,2.59,light rain
144,Luderitz,NA,2021-11-28 01:06:56,-26.6481,15.1594,59.27,86,6,3.83,clear sky
145,Touros,BR,2021-11-28 01:11:46,-5.1989,-35.4608,81.5,71,82,13.15,broken clouds
146,Kindu,CD,2021-11-28 01:11:47,-2.95,25.95,69.89,99,100,1.41,overcast clouds
147,Gat,IL,2021-11-28 01:11:47,31.61,34.7642,56.08,40,35,3.65,scattered clouds
148,East London,ZA,2021-11-28 01:06:55,-33.0153,27.9116,63.46,90,6,4.92,clear sky
149,Rawson,AR,2021-11-28 01:11:48,-43.3002,-65.1023,57.78,75,0,10.29,clear sky
150,Nikolskoye,RU,2021-11-28 01:09:25,59.7035,30.7861,28.29,89,100,11.86,light snow
151,Torbay,CA,2021-11-28 01:11:48,47.6666,-52.7314,50.77,93,90,11.5,light intensity shower rain
152,Zhigansk,RU,2021-11-28 01:11:49,66.7697,123.3711,-1.62,98,100,6.82,overcast clouds
153,Faanui,PF,2021-11-28 01:11:49,-16.4833,-151.75,81.37,73,17,17.85,few clouds
154,Dhidhdhoo,MV,2021-11-28 01:11:49,6.8833,73.1,80.37,80,100,10.18,overcast clouds
155,Obihiro,JP,2021-11-28 01:10:27,42.9172,143.2044,38.86,63,6,7.92,clear sky
156,Boo,SE,2021-11-28 01:11:50,59.3333,18.2833,28.08,74,90,5.75,overcast clouds
157,Solnechnyy,RU,2021-11-28 01:10:46,50.7214,136.6319,17.24,82,63,5.35,broken clouds
158,Bairiki,KI,2021-11-28 01:11:51,1.3292,172.9752,87.8,66,20,17.27,few clouds
159,Agnibilekrou,CI,2021-11-28 01:11:51,7.1344,-3.2047,72.18,91,39,3.51,scattered clouds
160,Lermontovka,RU,2021-11-28 01:11:51,47.1453,134.3383,19.51,89,39,7.96,scattered clouds
161,Port Elizabeth,ZA,2021-11-28 01:11:52,-33.918,25.5701,61.09,77,0,5.75,clear sky
162,Esperance,AU,2021-11-28 01:10:06,-33.8667,121.9,75.87,43,0,9.78,clear sky
163,Komsomolskiy,UZ,2021-11-28 01:11:52,40.4272,71.7189,29.62,56,15,0.65,few clouds
164,Dunedin,NZ,2021-11-28 01:11:52,-45.8742,170.5036,60.89,61,0,12.33,clear sky
165,Georgetown,MY,2021-11-28 01:11:21,5.4112,100.3354,80.53,83,20,3.44,few clouds
166,Carnarvon,AU,2021-11-28 01:11:53,-24.8667,113.6333,100.47,10,0,12.66,clear sky
167,Balabac,PH,2021-11-28 01:11:53,7.9868,117.0645,82.71,75,100,3.83,overcast clouds
168,Weligama,LK,2021-11-28 01:11:54,5.9667,80.4167,75.76,90,88,4.0,overcast clouds
169,Charleston,US,2021-11-28 01:08:29,32.7766,-79.9309,44.76,79,20,0.0,few clouds
